2016-05-19 13:46:56,882 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-05-19 14:00:43,216 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:00:43,327 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1746 resources
2016-05-19 14:00:52,431 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:00:52,436 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:08:31,457 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-05-19 14:08:31,550 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: egovAll:egov-all:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\egov-all\pom.xml.
2016-05-19 14:08:32,363 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /egov-all/src/main/java
2016-05-19 14:08:32,363 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /egov-all/src/main/resources
2016-05-19 14:08:32,373 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /egov-all/src/test/java
2016-05-19 14:08:32,373 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /egov-all/src/test/resources
2016-05-19 14:08:32,766 [Worker-38] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: egovAll:egov-all:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\egov-all\pom.xml.
2016-05-19 14:08:33,191 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: egovAll:egov-all:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\egov-all\pom.xml.
2016-05-19 14:08:33,924 [main] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for egov-all
2016-05-19 14:08:33,945 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2016-05-19 14:08:35,047 [Worker-39] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: egovAll:egov-all:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\egov-all\pom.xml.
2016-05-19 14:08:36,075 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:08:36,079 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:08:36,081 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:08:36,097 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:08:37,216 [Worker-37] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: egovAll:egov-all:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\egov-all\pom.xml.
2016-05-19 14:08:43,885 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:08:43,890 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:08:43,892 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:08:43,896 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:12:43,569 [Worker-43] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: egovAll:egov-all:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\egov-all\pom.xml.
2016-05-19 14:12:49,458 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:12:49,508 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1746 resources
2016-05-19 14:13:05,567 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:13:05,610 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:13:05,610 [Worker-43] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of egov-all
2016-05-19 14:13:05,610 [Worker-43] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for egov-all
2016-05-19 14:13:05,649 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:17:22,487 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:17:22,493 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-05-19 14:17:22,496 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:17:22,496 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:19:26,824 [Worker-50] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: egovAll:egov-all:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\egov-all\pom.xml.
2016-05-19 14:19:29,232 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:19:29,236 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:19:29,237 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:19:29,245 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:19:29,245 [Worker-50] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of egov-all
2016-05-19 14:19:29,245 [Worker-50] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for egov-all
2016-05-19 14:19:29,248 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:19:45,648 [Worker-98] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:19:45,714 [Worker-98] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1746 resources
2016-05-19 14:19:55,220 [Worker-98] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
